"Link Text","URL"
"Enable accessibility",""
"",""
"",""
"",""
"Japan",""
"International - other",""
"Asia - other",""
"Financial Professional",""
"RIA",""
"Individual Investor",""
"Private Client",""
"Institution or Consultant",""
"Employer or Plan Sponsor",""
"Third-Party Administrator",""
"Capitalgroup.com/participant",""
"Capitalgroup.com/participant/planpremier",""
"My Accounts",""
"Account Summary",""
"Statements & Tax Forms",""
"Account Forms",""
"Log In",""
"For You",""
"Mutual Funds",""
"Variable Annuity/Insurance Solutions",""
"Exchange-Traded Funds",""
"Interval Funds",""
"Returns",""
"Daily Prices & Yields",""
"Compare Funds",""
"Fund Prospectuses & Reports",""
"Share Classes & Pricing",""
"Traditional/Roth IRAs",""
"SIMPLE IRAs",""
"SEP IRAs",""
"401(k) Plans",""
"403(b) Plans",""
"CollegeAmerica® 529 Plans",""
"ABLEAmerica® Plans",""
"See What We Offer expand_more",""
"Saving for College",""
"Finances After 40",""
"Retirement Planning Calculator",""
"College Savings Calculator","https://www.capitalgroup.com/individual/planning/tools/ext/college-savings-calculator"
"Traditional vs. Roth 401(k)/403(b) Analyzer",""
"Spend It or Save It Calculator",""
"Investment Calculator",""
"Taxes and Inflation Calculator",""
"Getting Started",""
"Investing Fundamentals",""
"Mutual Fund Basics",""
"Creating a Financial Plan",""
"Retirement Planning",""
"Market Fluctuations",""
"See All Planning expand_more",""
"Investor Welcome Center",""
"Register Your Account",""
"Account Updates",""
"Life Events",""
"Account Security",""
"Investments",""
"Withdrawals",""
"Exchanges and Rebalances",""
"More Transactions",""
"529 CollegeAmerica® Distributions",""
"Required Minimum Distributions (RMD)",""
"IRA Rollovers",""
"Beneficiary Updates",""
"Find Forms",""
"Tax Center",""
"Locate a Financial Professional",""
"Submit Documents Online 🔒",""
"Contact Us",""
"See All Service & Supportexpand_more",""
"Outlook",""
"Markets & Economy",""
"Equity",""
"Fixed Income",""
"See All Insightsexpand_more",""
"Who We Are",""
"Investment Approach",""
"Our History",""
"Our Culture",""
"Global Citizenship",""
"Our Leadership",""
"Newsroom",""
"Careers",""
"See More About Usexpand_more",""
"Log In",""
"Adviser",""
"Institutions & Consultants",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutionelle Investoren & Consultants",""
"Finanzintermediäre",""
"Privatanleger",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions et consultants",""
"Intermédiaires financiers",""
"Investisseurs particuliers",""
"Financiële tussenpersonen",""
"Individual Investors",""
"Financial Advisors",""
"Institutions and Consultants",""
"Particuliers",""
"Conseillers financiers",""
"Institutions et consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions et consultants",""
"Intermédiaires financiers",""
"Investisseurs particuliers",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutionelle Investoren & Consultants",""
"Finanzintermediäre",""
"Privatanleger",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"機構投資者及顧問",""
"金融中介",""
"個人投資者",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Clienti Istituzionali",""
"Intermediari e Consulenti Finanziari",""
"Investitori privati",""
"Japan",""
"Financial Intermediaries",""
"Individual Investors",""
"Finanzintermediäre",""
"Privatanleger",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions et consultants",""
"Intermédiaires financiers",""
"Investisseurs particuliers",""
"Institutionelle Investoren & Consultants",""
"Finanzintermediäre",""
"Privatanleger",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Instituciones y consultores",""
"Intermediarios financieros",""
"Inversores individuales",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions et consultants",""
"Intermédiaires financiers",""
"Investisseurs particuliers",""
"Institutionelle Investoren & Consultants",""
"Finanzintermediäre",""
"Privatanleger",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Institutions & Consultants",""
"Financial Intermediaries",""
"Individual Investors",""
"Financial Professional",""
"RIA",""
"Individual Investor",""
"Private Client",""
"Retirement Plan Investor",""
"Institution or Consultant",""
"Employer or Plan Sponsor",""
"Third-Party Administrator",""
"U.S. Offshore Advisors",""
"Offshore de EE. UU.",""
"International - other",""
"Asia - other",""
"Returns",""
"Daily Prices & Yields",""
"Symbols & Fund Numbers",""
"Returns",""
"Daily Prices & Yields",""
"Symbols & Fund Numbers",""
"SUMMARY PROSPECTUS tooltip: A legal document that provides a summary of a fund's prospectus. The summary prospectus includes information such as fund investment objectives, strategies, risks, costs, investment results and other information to help investors make an informed decision about investing in a fund.",""
"PROSPECTUS tooltip: A legal document describing the objectives of a fund, the background of fund managers, and key financial data, such as expenses and investment results. A prospectus is designed to provide investors with the information they need to make an informed decision about investing in a fund.",""
"SAI tooltip: SAI (statement of additional information): contains detailed information about various fund policies; officers, directors and others who manage the fund; investment services; brokerage commissions and tax issues.",""
"ANNUAL REPORT tooltip: A yearly record of a fund's financial status that must be distributed to shareholders under the Securities and Exchange Commission regulations. The report includes a review of the fund's expenses, investment results, key statistics and holdings information.",""
"SEMI-ANNUAL REPORT tooltip: A six-month record of a fund's financial status that must be distributed to shareholders under the Securities and Exchange Commission regulations. The report includes a review of the fund's expenses, key statistics and holdings information.",""
"ANNUAL tooltip: Contains the financial statements and financial highlights, including the schedule of investments for the fiscal year, and other important information, such as investment advisory contract renewal disclosures or matters submitted for shareholder vote.",""
"SEMI-ANNUAL tooltip: Contains the financial statements and financial highlights, including the schedule of investments for the fiscal half-year, and other important information, such as investment advisory contract renewal disclosures or matters submitted for shareholder vote.",""
"N-PX tooltip: Contains the annual proxy voting record of a fund.",""
"AMCAP Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=023375108"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=023375108"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=023375108"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=023375108"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=023375108"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=023375108"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=023375108"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=4405&type=N-PX"
"American Funds® Global Insight Fund",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=14020E106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=14020E106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=14020E106"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=14020E106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=14020E106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=14020E106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=14020E106"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1785347&type=N-PX"
"American Funds® International Vantage Fund",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=14019V101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=14019V101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=14019V101"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=14019V101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=14019V101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=14019V101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=14019V101"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1785336&type=N-PX"
"EUPAC Fund™",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=298706102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=298706102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=298706102"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=298706102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=298706102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=298706102"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=298706102"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=719603&type=N-PX"
"New Perspective Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=648018109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=648018109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=648018109"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=648018109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=648018109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=648018109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=648018109"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=71516&type=N-PX"
"New World Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=649280104"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=649280104"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=649280104"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=649280104"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=649280104"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=649280104"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=649280104"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1073330&type=N-PX"
"SMALLCAP World Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=831681101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=831681101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=831681101"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=831681101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=831681101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=831681101"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=831681101"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=858744&type=N-PX"
"The Growth Fund of America®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=399874106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=399874106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=399874106"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=399874106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=399874106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=399874106"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=399874106"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=44201&type=N-PX"
"The New Economy Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=643822109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=643822109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=643822109"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=643822109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=643822109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=643822109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=643822109"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=719608&type=N-PX"
"American Funds® Developing World Growth and Income Fund",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=02630F100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=02630F100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=02630F100"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=02630F100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=02630F100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=02630F100"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=02630F100"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=1584433&type=N-PX"
"American Mutual Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=027681105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=027681105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=027681105"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=027681105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=027681105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=027681105"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=027681105"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=5506&type=N-PX"
"Capital World Growth and Income Fund®",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=spro&cid=capgroup&fid=140543109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=pros&cid=capgroup&fid=140543109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=sai&cid=capgroup&fid=140543109"
"",""
"",""
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lann&cid=capgroup&fid=140543109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=lsem&cid=capgroup&fid=140543109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq1&cid=capgroup&fid=140543109"
"","https://capitalgroup.prospectus-express.com/summary.asp?doctype=phq3&cid=capgroup&fid=140543109"
"","https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=894005&type=N-PX"
